السؤال,خيار 1,خيار 2,خيار 3,خيار 4,الإجابة,التفسير,رابط الصورة,اسم الملف,Detailed,Subject,Source
Which hormone is primarily responsible for the let-down reflex during lactation?,Prolactin,Oxytocin,Estrogen,Progesterone,Oxytocin,"Oxytocin stimulates myoepithelial cells in the breast, causing milk ejection or the ""let-down"" reflex.",,,,Physiology,مصدر2
What is the primary driver for respiration in a healthy individual?,Low PO2,High PCO2,High PO2,Low blood pH only,High PCO2,"Central chemoreceptors are highly sensitive to changes in arterial PCO2 (via H+ in CSF), which is the primary driver of ventilation.",,,,Physiology,مصدر2
Which part of the nephron reabsorbs the largest percentage of filtered sodium?,Proximal convoluted tubule,Loop of Henle,Distal convoluted tubule,Collecting duct,Proximal convoluted tubule,The PCT reabsorbs about 65-70% of filtered sodium and water.,,,,Physiology,مصدر2
A rightward shift of the oxygen-hemoglobin dissociation curve can be caused by:,Decreased temperature,Increased pH,"Increased 2,3-BPG",Decreased PCO2,"Increased 2,3-BPG","Increased 2,3-BPG, high temperature, high PCO2, and low pH cause a rightward shift, facilitating O2 unloading.",,,,Physiology,مصدر2
Which phase of the cardiac action potential in ventricular muscle is characterized by calcium influx?,Phase 0,Phase 1,Phase 2 (Plateau),Phase 3,Phase 2 (Plateau),"Phase 2 is the plateau phase, driven by the inward flow of calcium ions through L-type Ca2+ channels.",,,,Physiology,مصدر2
"In the stomach, parietal cells secrete HCl and which other important substance?",Pepsinogen,Gastrin,Intrinsic factor,Mucus,Intrinsic factor,"Parietal cells secrete HCl and intrinsic factor, which is essential for vitamin B12 absorption.",,,,Physiology,مصدر2
Which hormone decreases blood glucose levels by promoting cellular uptake?,Glucagon,Epinephrine,Cortisol,Insulin,Insulin,Insulin is the primary anabolic hormone that lowers blood glucose.,,,,Physiology,مصدر2
What is the main physiological role of aldosterone?,Increase sodium excretion,Increase potassium reabsorption,Increase sodium reabsorption and potassium excretion,Decrease water reabsorption,Increase sodium reabsorption and potassium excretion,Aldosterone acts on the principal cells of the collecting duct to increase Na+ reabsorption and K+ secretion.,,,,Physiology,مصدر2
Which clotting factor is activated by the intrinsic pathway but not the extrinsic pathway?,Factor VII,Factor XII,Factor X,Factor II (Prothrombin),Factor XII,Factor XII (Hageman factor) initiates the intrinsic coagulation cascade.,,,,Physiology,مصدر2
Where does the greatest vascular resistance occur in the systemic circulation?,Aorta,Arterioles,Capillaries,Veins,Arterioles,Arterioles are the major resistance vessels in the systemic circulation.,,,,Physiology,مصدر2
What is the effect of parathyroid hormone (PTH) on the kidneys?,Increases calcium and phosphate reabsorption,Decreases calcium and phosphate reabsorption,Increases calcium reabsorption and increases phosphate excretion,Decreases calcium reabsorption and increases phosphate excretion,Increases calcium reabsorption and increases phosphate excretion,PTH raises blood calcium by increasing renal Ca2+ reabsorption and dumping PO4- in the urine.,,,,Physiology,مصدر2
Which parameter represents the volume of air remaining in the lungs after a maximal exhalation?,Functional residual capacity,Residual volume,Tidal volume,Expiratory reserve volume,Residual volume,Residual volume cannot be exhaled and prevents alveolar collapse.,,,,Physiology,مصدر2
"In the cardiac cycle, the first heart sound (S1) corresponds to:",Closure of semilunar valves,Closure of atrioventricular valves,Opening of atrioventricular valves,Rapid ventricular filling,Closure of atrioventricular valves,S1 marks the beginning of systole when the mitral and tricuspid (AV) valves close.,,,,Physiology,مصدر2
Which substance is responsible for the maintenance of the resting membrane potential in neurons?,Voltage-gated sodium channels,Na+/K+ ATPase pump,Calcium channels,Ligand-gated ion channels,Na+/K+ ATPase pump,"The Na+/K+ pump moves 3 Na+ out and 2 K+ in, maintaining the negative resting potential.",,,,Physiology,مصدر2
What is the role of surfactant in the lungs?,Increases surface tension,Decreases lung compliance,Decreases surface tension to prevent alveolar collapse,Facilitates mucus clearance,Decreases surface tension to prevent alveolar collapse,"Surfactant (DPPC) reduces surface tension, making the lungs easier to inflate (high compliance).",,,,Physiology,مصدر2
Which gastrointestinal hormone stimulates gallbladder contraction?,Secretin,Cholecystokinin (CCK),Gastrin,Motilin,Cholecystokinin (CCK),"CCK is released in response to fatty acids and amino acids, stimulating bile release from the gallbladder.",,,,Physiology,مصدر2
A decrease in blood pressure sensed by the macula densa leads to the release of:,Aldosterone,Renin,Angiotensin II,Antidiuretic hormone,Renin,The macula densa senses low NaCl (due to low BP) and stimulates JG cells to release renin.,,,,Physiology,مصدر2
Where is antidiuretic hormone (ADH) synthesized?,Anterior pituitary,Posterior pituitary,Hypothalamus,Adrenal cortex,Hypothalamus,ADH is synthesized in the supraoptic nuclei of the hypothalamus and stored in the posterior pituitary.,,,,Physiology,مصدر2
What is the primary pacemaker of a healthy heart?,AV node,SA node,Bundle of His,Purkinje fibers,SA node,"The Sinoatrial (SA) node inherently depolarizes fastest (60-100 bpm), acting as the pacemaker.",,,,Physiology,مصدر2
Which wave on an ECG represents ventricular repolarization?,P wave,QRS complex,T wave,U wave,T wave,The T wave corresponds to the repolarization of the ventricles.,,,,Physiology,مصدر2
A 60-year-old smoker presents with hemoptysis and weight loss. Biopsy shows keratin pearls and intercellular bridges. Diagnosis?,Small cell carcinoma,Squamous cell carcinoma,Adenocarcinoma,Large cell carcinoma,Squamous cell carcinoma,Keratin pearls and intercellular bridges are histological hallmarks of squamous cell carcinoma of the lung.,,,,Pathology,مصدر2
Which type of necrosis is classically associated with tuberculosis?,Coagulative necrosis,Liquefactive necrosis,Caseous necrosis,Fat necrosis,Caseous necrosis,Caseous necrosis is typical for granulomatous inflammation seen in tuberculosis.,,,,Pathology,مصدر2
A Philadelphia chromosome (t(9;22)) is most commonly associated with which leukemia?,ALL,CLL,AML,CML,CML,Chronic Myeloid Leukemia (CML) is characterized by the BCR-ABL fusion gene from t(9;22).,,,,Pathology,مصدر2
Which autoimmune disease is characterized by anti-dsDNA and anti-Sm antibodies?,Rheumatoid arthritis,Sjögren syndrome,Systemic lupus erythematosus (SLE),Systemic sclerosis,Systemic lupus erythematosus (SLE),Anti-dsDNA and anti-Smith antibodies are highly specific for SLE.,,,,Pathology,مصدر2
"A patient has a ""starry sky"" appearance on lymph node biopsy. What is the diagnosis?",Hodgkin lymphoma,Burkitt lymphoma,Follicular lymphoma,Mantle cell lymphoma,Burkitt lymphoma,"Burkitt lymphoma histologically shows a ""starry sky"" pattern due to macrophages interspersed among rapidly dividing tumor cells.",,,,Pathology,مصدر2
What is the most common cause of right-sided heart failure?,Pulmonary hypertension,Right ventricular infarction,Left-sided heart failure,Tricuspid regurgitation,Left-sided heart failure,"Left-sided heart failure leads to pulmonary congestion, eventually causing right-sided heart failure.",,,,Pathology,مصدر2
Which inflammatory bowel disease is characterized by skip lesions and transmural inflammation?,Ulcerative colitis,Crohn disease,Celiac disease,Microscopic colitis,Crohn disease,"Crohn disease features transmural inflammation and non-contiguous ""skip"" lesions anywhere in the GI tract.",,,,Pathology,مصدر2
"A patient with chronic alcoholism presents with ascites, jaundice, and caput medusae. Liver biopsy would show:",Macrovesicular steatosis and fibrosis,Massive necrosis,Granulomas,Amyloid deposition,Macrovesicular steatosis and fibrosis,"Cirrhosis due to alcohol presents with fibrosis and regenerative nodules, often with underlying macrovesicular steatosis.",,,,Pathology,مصدر2
Which gene mutation is most strongly associated with familial breast and ovarian cancer?,APC,p53,BRCA1,RET,BRCA1,BRCA1 and BRCA2 mutations significantly increase the risk of breast and ovarian cancers.,,,,Pathology,مصدر2
Negri bodies in the cytoplasm of neurons are pathognomonic for which viral infection?,Herpes simplex virus,Rabies virus,Cytomegalovirus,Poliovirus,Rabies virus,Negri bodies are eosinophilic cytoplasmic inclusions found in rabies infection.,,,,Pathology,مصدر2
"A biopsy of a gastric ulcer reveals ""signet ring cells"". What is the most likely diagnosis?",Peptic ulcer disease,Gastric lymphoma,Diffuse gastric adenocarcinoma,GIST,Diffuse gastric adenocarcinoma,Signet ring cells (mucin-filled cells with a peripheral nucleus) are characteristic of diffuse type gastric cancer.,,,,Pathology,مصدر2
"Which glomerulonephritis presents with a ""lumpy-bumpy"" appearance on immunofluorescence?",IgA nephropathy,Goodpasture syndrome,Post-streptococcal glomerulonephritis,Membranous nephropathy,Post-streptococcal glomerulonephritis,PSGN features subepithelial immune complex humps giving a lumpy-bumpy granular pattern.,,,,Pathology,مصدر2
Multiple myeloma is classically associated with which finding on skull X-ray?,Cotton wool spots,Punched-out lytic lesions,Sunburst pattern,Codman triangle,Punched-out lytic lesions,"Myeloma cells stimulate osteoclasts, leading to characteristic ""punched-out"" lytic bone lesions.",,,,Pathology,مصدر2
A 4-year-old boy presents with progressive muscle weakness and calf pseudohypertrophy. What is the mutated gene?,FBN1,DMD (Dystrophin),CFTR,HTT,DMD (Dystrophin),Duchenne muscular dystrophy is an X-linked recessive disorder caused by a frameshift mutation in the dystrophin gene.,,,,Pathology,مصدر2
What is the hallmark histological finding in Hodgkin lymphoma?,Reed-Sternberg cells,Auer rods,Smudge cells,Homer-Wright rosettes,Reed-Sternberg cells,Reed-Sternberg cells (owl-eye appearance) are diagnostic for Hodgkin lymphoma.,,,,Pathology,مصدر2
Which type of emphysema is most commonly associated with alpha-1 antitrypsin deficiency?,Centriacinar,Panacinar,Paraseptal,Irregular,Panacinar,"Alpha-1 antitrypsin deficiency typically causes panacinar emphysema, predominantly in the lower lobes.",,,,Pathology,مصدر2
"A female patient presents with a solitary, painless, rubbery breast mass. Histology shows proliferation of stroma and glands. Diagnosis?",Invasive ductal carcinoma,Fibroadenoma,Fibrocystic change,Phyllodes tumor,Fibroadenoma,Fibroadenoma is a common benign biphasic tumor (stroma and epithelium) in young women.,,,,Pathology,مصدر2
Which marker is highly elevated in hepatocellular carcinoma?,CA-125,PSA,Alpha-fetoprotein (AFP),CEA,Alpha-fetoprotein (AFP),AFP is the most useful tumor marker for monitoring and diagnosing hepatocellular carcinoma.,,,,Pathology,مصدر2
What is the characteristic feature of Alzheimer's disease on brain biopsy?,Lewy bodies,Neurofibrillary tangles and amyloid plaques,Pick bodies,Spongiform encephalopathy,Neurofibrillary tangles and amyloid plaques,Alzheimer disease is defined by extracellular A-beta amyloid plaques and intracellular tau tangles.,,,,Pathology,مصدر2
Which sexually transmitted infection is characterized by a painless chancre?,Chancroid,Herpes simplex,Primary syphilis,Gonorrhea,Primary syphilis,"Treponema pallidum causes primary syphilis, which presents as a painless ulcer (chancre).",,,,Pathology,مصدر2
Which diuretic acts on the thick ascending limb of the loop of Henle?,Hydrochlorothiazide,Furosemide,Spironolactone,Acetazolamide,Furosemide,Loop diuretics like furosemide inhibit the Na-K-2Cl cotransporter in the thick ascending limb.,,,,Pharmacology,مصدر2
What is the primary mechanism of action of statins?,Inhibition of HMG-CoA reductase,Binding of bile acids,Activation of PPAR-alpha,Inhibition of cholesterol absorption,Inhibition of HMG-CoA reductase,"Statins inhibit HMG-CoA reductase, the rate-limiting enzyme in hepatic cholesterol synthesis.",,,,Pharmacology,مصدر2
"Which antibiotic is known to cause ""Red Man Syndrome"" if infused too rapidly?",Penicillin,Azithromycin,Vancomycin,Ciprofloxacin,Vancomycin,"Rapid infusion of Vancomycin causes histamine release, leading to Red Man Syndrome.",,,,Pharmacology,مصدر2
A patient on warfarin requires emergency reversal of anticoagulation due to severe bleeding. What is the appropriate treatment?,Protamine sulfate,Vitamin K and Fresh Frozen Plasma (FFP),Idarucizumab,Desmopressin,Vitamin K and Fresh Frozen Plasma (FFP),"FFP provides immediate clotting factors, while Vitamin K allows the liver to synthesize new factors over time.",,,,Pharmacology,مصدر2
"Which class of antihypertensives is associated with a dry, non-productive cough?",Calcium channel blockers,Beta-blockers,ACE inhibitors,ARBs,ACE inhibitors,"ACE inhibitors prevent the breakdown of bradykinin, which accumulates and causes a dry cough.",,,,Pharmacology,مصدر2
Which drug is a selective serotonin reuptake inhibitor (SSRI)?,Amitriptyline,Fluoxetine,Venlafaxine,Phenelzine,Fluoxetine,Fluoxetine is a classic SSRI used for depression and anxiety.,,,,Pharmacology,مصدر2
What is the antidote for acetaminophen (paracetamol) toxicity?,Naloxone,Flumazenil,N-acetylcysteine (NAC),Atropine,N-acetylcysteine (NAC),NAC replenishes glutathione stores in the liver to detoxify the NAPQI metabolite.,,,,Pharmacology,مصدر2
Which receptor does salbutamol (albuterol) primarily agonize to cause bronchodilation?,Alpha-1,Alpha-2,Beta-1,Beta-2,Beta-2,Albuterol is a short-acting beta-2 adrenergic agonist.,,,,Pharmacology,مصدر2
Which antidiabetic medication commonly causes lactic acidosis in patients with renal impairment?,Glipizide,Metformin,Pioglitazone,Sitagliptin,Metformin,Metformin is contraindicated in severe renal failure due to the risk of lactic acidosis.,,,,Pharmacology,مصدر2
Clopidogrel prevents platelet aggregation by blocking which receptor?,Glycoprotein IIb/IIIa,Thromboxane A2,P2Y12 (ADP) receptor,PAR-1,P2Y12 (ADP) receptor,Clopidogrel is an ADP receptor (P2Y12) antagonist.,,,,Pharmacology,مصدر2
Which drug is a specific antagonist for benzodiazepine overdose?,Naloxone,Flumazenil,Protamine,Fomepizole,Flumazenil,Flumazenil competitively inhibits the GABA-A receptor benzodiazepine binding site.,,,,Pharmacology,مصدر2
A 50-year-old male is prescribed sildenafil. Which class of medications is absolutely contraindicated?,Beta-blockers,Nitrates,Statins,Diuretics,Nitrates,"Combining PDE-5 inhibitors (sildenafil) with nitrates causes profound, life-threatening hypotension.",,,,Pharmacology,مصدر2
Which first-line anti-TB drug is known to cause red-orange discoloration of bodily fluids?,Isoniazid,Rifampin,Pyrazinamide,Ethambutol,Rifampin,"Rifampin turns urine, tears, and sweat a harmless red-orange color.",,,,Pharmacology,مصدر2
What is the primary mechanism of action of omeprazole?,H2 receptor antagonist,Prostaglandin analog,Proton pump inhibitor,Antacid,Proton pump inhibitor,Omeprazole irreversibly inhibits the H+/K+ ATPase (proton pump) in parietal cells.,,,,Pharmacology,مصدر2
Which antiepileptic drug classically causes gingival hyperplasia?,Valproic acid,Phenytoin,Levetiracetam,Carbamazepine,Phenytoin,"Phenytoin can cause gingival hyperplasia, hirsutism, and fetal hydantoin syndrome.",,,,Pharmacology,مصدر2
Heparin exerts its anticoagulant effect primarily by activating:,Plasminogen,Antithrombin III,Protein C,Vitamin K epoxide reductase,Antithrombin III,"Heparin binds to and greatly enhances the activity of Antithrombin III, neutralizing factor Xa and thrombin.",,,,Pharmacology,مصدر2
Which chemotherapy agent is notorious for causing dose-dependent cardiotoxicity?,Cisplatin,Vincristine,Doxorubicin,Bleomycin,Doxorubicin,"Doxorubicin (an anthracycline) causes dilated cardiomyopathy, which is cumulative dose-dependent.",,,,Pharmacology,مصدر2
A patient with asthma uses an inhaler that causes oral candidiasis (thrush). The drug is most likely:,Albuterol,Fluticasone,Ipratropium,Montelukast,Fluticasone,Inhaled corticosteroids (Fluticasone) can cause local immunosuppression leading to thrush. Rinsing the mouth prevents it.,,,,Pharmacology,مصدر2
Which antibiotic acts by inhibiting bacterial DNA gyrase?,Ciprofloxacin,Amoxicillin,Azithromycin,Doxycycline,Ciprofloxacin,Fluoroquinolones (like ciprofloxacin) inhibit DNA gyrase (topoisomerase II) and topoisomerase IV.,,,,Pharmacology,مصدر2
What is the main side effect associated with ACE inhibitors besides cough?,Hypokalemia,Angioedema,Bradycardia,Pedal edema,Angioedema,ACE inhibitors can cause life-threatening angioedema due to elevated bradykinin levels.,,,,Pharmacology,مصدر2
"A 24-year-old male presents with periumbilical pain radiating to the right lower quadrant, fever, and nausea. What is the most likely diagnosis?",Acute cholecystitis,Acute appendicitis,Diverticulitis,Peptic ulcer disease,Acute appendicitis,Classic presentation of acute appendicitis starts with periumbilical pain that localizes to the RLQ (McBurney point).,,,,Surgery,مصدر2
What is the most common cause of small bowel obstruction in adults?,Hernias,Postoperative adhesions,Tumors,Volvulus,Postoperative adhesions,Adhesions from prior abdominal surgeries are the leading cause of SBO.,,,,Surgery,مصدر2
"Charcot's triad (fever, jaundice, RUQ pain) is indicative of:",Acute pancreatitis,Acute cholecystitis,Acute cholangitis,Hepatic abscess,Acute cholangitis,Charcot triad suggests acute ascending cholangitis (infection of the biliary tract).,,,,Surgery,مصدر2
A 65-year-old male smoker presents with a pulsatile abdominal mass. What is the next best step in diagnosis?,CT angiogram,Abdominal ultrasound,MRI abdomen,Exploratory laparotomy,Abdominal ultrasound,Ultrasound is the best initial test to diagnose and measure an abdominal aortic aneurysm (AAA).,,,,Surgery,مصدر2
What is the most common breast benign tumor in young women?,Fibroadenoma,Intraductal papilloma,Phyllodes tumor,Ductal carcinoma in situ,Fibroadenoma,"Fibroadenomas are solid, mobile, benign breast masses common in women under 30.",,,,Surgery,مصدر2
Which type of hernia passes through the deep inguinal ring?,Direct inguinal hernia,Indirect inguinal hernia,Femoral hernia,Spigelian hernia,Indirect inguinal hernia,Indirect inguinal hernias pass through the deep inguinal ring lateral to the inferior epigastric vessels.,,,,Surgery,مصدر2
A patient sustains a head injury and experiences a lucid interval followed by rapid deterioration. CT shows a biconvex (lens-shaped) hyperdensity. Diagnosis?,Subdural hematoma,Subarachnoid hemorrhage,Epidural hematoma,Intracerebral hemorrhage,Epidural hematoma,Epidural hematomas (typically from middle meningeal artery rupture) present with a lucid interval and lens-shaped CT appearance.,,,,Surgery,مصدر2
"The ""rule of nines"" is used to estimate the body surface area involved in:",Skin cancer,Burns,Psoriasis,Necrotizing fasciitis,Burns,The rule of nines quickly estimates the total body surface area (TBSA) affected by burn injuries.,,,,Surgery,مصدر2
What is the most definitive treatment for a tension pneumothorax before inserting a chest tube?,Intubation,Needle decompression,Oxygen via non-rebreather,Pericardiocentesis,Needle decompression,Immediate needle thoracostomy in the 2nd intercostal space midclavicular line is required to relieve a tension pneumothorax.,,,,Surgery,مصدر2
A 50-year-old presents with painless hematuria. What is the most likely diagnosis until proven otherwise?,Nephrolithiasis,Urinary tract infection,Bladder cancer,Benign prostatic hyperplasia,Bladder cancer,Painless gross hematuria in adults should raise high suspicion for urothelial (bladder) cancer.,,,,Surgery,مصدر2
What is the most common location for an anal fissure?,Posterior midline,Anterior midline,Right lateral,Left lateral,Posterior midline,Over 90% of anal fissures occur in the posterior midline due to poor blood supply.,,,,Surgery,مصدر2
"A 60-year-old male presents with painless jaundice and a palpable, non-tender gallbladder (Courvoisier sign). What is the suspected diagnosis?",Choledocholithiasis,Hepatitis C,Pancreatic head carcinoma,Primary biliary cholangitis,Pancreatic head carcinoma,"Courvoisier sign strongly suggests a malignant obstruction of the biliary tree, usually pancreatic cancer.",,,,Surgery,مصدر2
Which physical exam finding is most specific for acute appendicitis?,Murphy sign,Rovsing sign,Cullen sign,Kehr sign,Rovsing sign,Rovsing sign (RLQ pain upon palpation of the LLQ) is highly suggestive of appendicitis.,,,,Surgery,مصدر2
A patient develops severe abdominal pain out of proportion to physical exam findings. They have a history of atrial fibrillation. Diagnosis?,Acute mesenteric ischemia,Perforated peptic ulcer,Acute pancreatitis,Bowel obstruction,Acute mesenteric ischemia,Pain out of proportion to exam in a patient with an embolus source (A-fib) points to acute mesenteric ischemia.,,,,Surgery,مصدر2
"What is the standard surgical treatment for a localized, early-stage breast cancer?",Radical mastectomy,Lumpectomy with sentinel lymph node biopsy and radiation,Total mastectomy without lymph node biopsy,Systemic chemotherapy only,Lumpectomy with sentinel lymph node biopsy and radiation,Breast-conserving surgery (lumpectomy) with SLNB followed by radiation is the standard of care for early-stage disease.,,,,Surgery,مصدر2
Which type of shock is most likely in a trauma patient with massive hemorrhage?,Cardiogenic,Neurogenic,Hypovolemic,Septic,Hypovolemic,"Massive blood loss causes hypovolemic (hemorrhagic) shock, treated with fluids and blood products.",,,,Surgery,مصدر2
"A patient complains of pain, pulselessness, pallor, paresthesia, and paralysis in the left leg. What is the diagnosis?",Deep vein thrombosis,Acute arterial occlusion,Varicose veins,Compartment syndrome,Acute arterial occlusion,"The ""5 Ps"" are classic signs of acute limb ischemia (arterial occlusion).",,,,Surgery,مصدر2
What is the most common cause of a mechanical large bowel obstruction?,Hernia,Adhesions,Colorectal cancer,Volvulus,Colorectal cancer,"While adhesions cause small bowel obstruction, colorectal cancer is the most common cause of large bowel obstruction.",,,,Surgery,مصدر2
"A trauma patient has Beck's triad: hypotension, JVD, and muffled heart sounds. What is the immediate treatment?",Chest tube insertion,Pericardiocentesis,IV fluids,Burr hole,Pericardiocentesis,"Beck triad indicates cardiac tamponade, requiring emergent pericardiocentesis.",,,,Surgery,مصدر2
What is the primary indication for a carotid endarterectomy?,Asymptomatic 30% stenosis,Symptomatic >70% stenosis,Total occlusion of the internal carotid,Carotid aneurysm,Symptomatic >70% stenosis,CEA is highly beneficial for symptomatic patients with high-grade (70-99%) carotid stenosis to prevent stroke.,,,,Surgery,مصدر2
"A 45-year-old male presents with acute onset of severe, monoarticular joint pain in his big toe. Joint aspiration shows negatively birefringent needle-shaped crystals. Diagnosis?",Pseudogout,Gout,Rheumatoid arthritis,Septic arthritis,Gout,Monosodium urate crystals in gout are needle-shaped and negatively birefringent under polarized light.,,,,Internal Medicine,مصدر2
Which blood test is most specific for diagnosing a myocardial infarction?,Myoglobin,CK-MB,Cardiac Troponin I or T,LDH,Cardiac Troponin I or T,Cardiac troponins are highly sensitive and specific biomarkers for myocardial necrosis.,,,,Internal Medicine,مصدر2
"A 30-year-old female presents with episodic wheezing, cough, and shortness of breath that worsens at night. PFTs show reversible airway obstruction. Diagnosis?",COPD,Asthma,Bronchiectasis,Pulmonary embolism,Asthma,Reversible airflow obstruction and episodic wheezing are the hallmarks of asthma.,,,,Internal Medicine,مصدر2
What is the most common cause of community-acquired pneumonia?,Staphylococcus aureus,Streptococcus pneumoniae,Klebsiella pneumoniae,Mycoplasma pneumoniae,Streptococcus pneumoniae,S. pneumoniae (Pneumococcus) is the leading cause of typical community-acquired pneumonia.,,,,Internal Medicine,مصدر2
A patient with atrial fibrillation is at highest risk for which complication?,Pulmonary embolism,Myocardial infarction,Ischemic stroke,Aortic dissection,Ischemic stroke,"A-fib causes blood stasis in the left atrial appendage, leading to clots that can embolize to the brain.",,,,Internal Medicine,مصدر2
Which finding is diagnostic for diabetes mellitus?,Fasting plasma glucose = 110 mg/dL,HbA1c = 6.0%,Random plasma glucose = 220 mg/dL with symptoms,2-hour OGTT = 180 mg/dL,Random plasma glucose = 220 mg/dL with symptoms,"Random glucose ≥ 200 mg/dL with classic symptoms (polyuria, polydipsia) is diagnostic for diabetes.",,,,Internal Medicine,مصدر2
"A 65-year-old male presents with resting tremor, bradykinesia, rigidity, and postural instability. What neurotransmitter is deficient?",Serotonin,Acetylcholine,GABA,Dopamine,Dopamine,Parkinson's disease is caused by the degeneration of dopaminergic neurons in the substantia nigra.,,,,Internal Medicine,مصدر2
